id,for_fornecedor,for_fone,for_obs
1,Supermercado Rio Branco,,
2,Supermercado Mega Bom,,
3,Supermercado Todo Dia,,
4,Supermercado GBarbosa,,
5,Supermercado Super Mix,,
6,Nacional Gás,,
7,SB Oculos e Bijoterias,,
8,BRADESCO,,
9,OI,,
10,CLARO,,
11,VIVO,,
12,TIM,,
13,Posto Rio Una,,
14,SAAE,,
15,COELBA,,
16,Vinicius Modas,,
17,Bazar Ana Carolina,,
18,Livraria de Nelson,,
19,Cometa Calçados,,
20,Xandy,,
21,Moto-taxi Valença,,
22,Viação Cidade Sol,,
23,Lojas Guaibim,,
24,Casa e Fazenda,,
25,Casa Lacerda,,
26,Farmacia Cordeiro,,
27,Salão Graça,,
28,Gráfica Impress,,
29,Site Questões de Concursos,,
30,Apostilas Virtuais,,
31,Nadir,,
32,Cultura & Informática,,
33,MK dist. de água,,
34,Panif. Maiara,,
35,Willys Auto Peças,,
36,Planeta Confecções,,
37,Malu Confecções,,
38,Salão Osvaldo,,
39,Estacionamento Morro de São Paulo,,
40,Big Joias,,
41,Posto Grimaldi,,
42,Bar K Te Espero,,
43,Impacto Calçados,,
44,Oficina 4 Rodas,,
45,FIES,,
46,Viação Santana,,
47,Supermercado Jambo,,
48,Jose Souza e Cia Ltda,,
49,Farmacia Imperial,,
50,Pizzaria Divina Gula,,
51,Farmácia Taperoá,,
52,Lanc. Mega Chic,,
53,Posto David,,
54,CORREIOS,,
55,UNEB,,
56,Jequié Som,,
57,Supermercado Cardoso,,
58,Mister Shake,,
59,Farmácia Pague Menos,,
60,Livraria Siciliano,,
61,Gonpel Auto Peças,,
62,Redehost,,
63,Versatto,,
64,Registro.br,,
65,Sabor do Sul Churrascaria,,
66,Chile Calçados,,
67,DETRAN,,
68,Estacionamento Inácio,,
69,ChipSet Informática,,
70,COFEL,3641-7060,
71,TSG Informática,3641-2796,Dalmo ou Célia
72,Hortfruit do Gil,,
73,Bahia Jeans,,
74,Ambulante,,
75,Cantina FAZAG,,
76,Mercado Livre,,
77,Pizzaria Casa Verde,,
78,IFORT Clinica,,
79,Insinuante,,
80,Pizzaria Roda Viva,,
81,B & F Leasing,,
82,Rio Mar Modas,,
83,Mandalas Restaurante,,
84,Forum de Valença,,
85,Panif. Sandmel,,
86,Bomboniere Calcadão,,
87,Salão de Ulysses,,
88,Kiosk de Dalva,,
89,Big Eletro,,
90,Caio Figther,,
91,FAZAG,,
92,Cia do Mar,,
93,Posto Transval,,
94,Cabana Taperoá,,
95,Fátima,,
96,Spaco Tropical,,
97,UFBA,,
98,Imperial Calçados,,
99,Kaza do Filé,,
100,Editora Abril,,
101,Sorveteria Pinguim,,
102,Banca Revista Rangel,,
103,Global Link,,
104,Ponto dos Livros,,
105,Charme Goumet,,
106,Fund. Carlos Chagas,,
107,Livraria Sol,,
108,Serv. Nac. Lar e Saúde,,
109,Dr. Eanes da Silva,,
110,Pizzaria do Silvan,,
112,Livraria Saraiva,,
113,Livraria Cultura,,
114,Marcio do Gás,,
115,Lojas Americanas,,
116,Apostilas Solução,,
117,Pizzaria Pizzarella,3641-3014,8843-8084
118,Farmácia Silva Araújo,,
119,Mercadinho Leal,,
120,Cesgranrio,,
121,Kiosk Quatro Luas,,
122,S & R Concursos,,
123,Farmácia União,,
124,Restaurante da Lídia,,
125,Ponto dos Frios,,
126,Casa das Embalagens,,
127,A Lojinha,,
128,MEDLAB,75 3641-3630,
129,Diversos,,Sem Identificação
130,FISK,75 3641-4497,Cursos de Línguas
131,Viação Guaibim,3641-,
132,Skype,,
133,Lojas Santo Antonio,,
134,Livraria Valença,,
135,EuVouPassar,,Site de video-aulas
136,Mix Jeans,,
137,Barraca Importados,,
138,IFBAIANO,,
139,Estacionamento do Centro,,
140,Supermercado Fernandes,,de Joacy e Rilma
141,Planeta Calçados,,
142,Lago Distribuidora,,
143,Farmarcia Bahia,,
144,Lojas Renner,,
145,Viação Águia Branca,,
146,TWB,,
147,Ceará Variedades,,
148,Papelaria do Povo,,
149,Clínica Pro-Saúde,,
150,Editora JusPodium,,
151,Maxx Midias,,
152,Panif. França,,
153,Somar,,
154,Supermercado Somar,,
155,Pizzaria PitStop,,
156,Refrigeração Enxuta,,
157,Papelaria Itamaraty,,
158,Farmácia Santana,,
159,MCMC,,
160,Clinica CLIVIDA,,
161,Instituto Quadrix,,
162,UNIÃO,,
163,Lanchonete Shopping SAJ,,
164,Comercial São Luis,,
165,Vida Moda Intima,,
166,Sapataria São Jorge,,
167,Stocar,,
168,Restaurantes (Shopping),,
169,Planeta Girls (Polo),,
170,Lojas Riachuelo,,
171,TWB,,
172,Farmácia Ideal,,
173,Valdíno,,
174,Sorveteria Pelegrine,,
175,Portomar,,
176,Edson Chaveiro,,
177,IPED,,
178,MCMC Variedades,,Governador Mangabeiira
179,Restaurante Meu Cravo,,
180,Pousada do Sol,,
181,Multa Contratual,,
182,Blue Store,,
183,ARF Folheados,,Salvador
184,Di Santinni,,Salvador
185,Pastelaria da Zezé,,
186,Supermercado Fernandes,,
187,Posto Itamaraty,,
188,Lojas Riachuelo,,
189,Rita Jaco da Silva,,
190,Pop Confecções,,
191,Planet Girls,,
192,Paraíso das Carnes,,
193,Lojas Catan,,
194,Casa da Carne,,
195,Confecções Shekinah,,
196,Sistema Positivo,,
197,Salão de Geruza,,
